"the same m. nom. sg.","īdem","the same m. nom. sg."
"the same m. gen. sg.","eiusdem","the same m. gen. sg."
"the same m. dat. sg.","eīdem","the same m. dat. sg."
"the same m. acc. sg.","eundem","the same m. acc. sg."
"the same m. abl. sg.","eōdem","the same m. abl. sg."
"the same m. nom. pl.","eīdem, īdem","the same m. nom. pl."
"the same m. gen. pl.","eōrundem","the same m. gen. pl."
"the same m. dat. pl.","eīsdem","the same m. dat. pl."
"the same m. acc. pl.","eōsden","the same m. acc. pl."
"the same m. abl. pl.","eīsden","the same m. abl. pl."
"the same f. nom. sg.","eadem","the same f. nom. sg."
"the same f. gen. sg.","eiusdm","the same f. gen. sg."
"the same f. dat. sg.","eīdem","the same f. dat. sg."
"the same f. acc. sg.","eandem","the same f. acc. sg."
"the same f. abl. sg.","eādem","the same f. abl. sg."
"the same f. nom. pl.","eaeden","the same f. nom. pl."
"the same f. gen. pl.","eārundem","the same f. gen. pl."
"the same f. dat. pl.","eīsdem","the same f. dat. pl."
"the same f. acc. pl.","eāsdem","the same f. acc. pl."
"the same f. abl. pl.","eīsdem","the same f. abl. pl."
"the same n. nom. sg.","idem","the same n. nom. sg."
"the same n. gen. sg.","eiusden","the same n. gen. sg."
"the same n. dat. sg.","eīdem","the same n. dat. sg."
"the same n. acc. sg.","idem","the same n. acc. sg."
"the same n. abl. sg.","eōdem","the same n. abl. sg."
"the same n. nom. pl.","eadem","the same n. nom. pl."
"the same n. gen. pl.","eōrundem","the same n. gen. pl."
"the same n. dat. pl.","eīsdem","the same n. dat. pl."
"the same n. acc. pl.","eadem","the same n. acc. pl."
"the same n. abl. pl.","eīsdem","the same n. abl. pl."