"1st nom. sg.","--","1st nom. sg."
"1st gen. sg.","meī","1st gen. sg."
"1st dat. sg.","mihi","1st dat. sg."
"1st acc. sg.","mē","1st acc. sg."
"1st abl. sg.","mē","1st abl. sg."
"1st nom. pl.","--","1st nom. pl."
"1st gen. pl.","nostrī","1st gen. pl."
"1st dat. pl.","nōbīs","1st dat. pl."
"1st acc. pl.","nōs","1st acc. pl."
"1st abl. pl.","nōbīs","1st abl. pl."
"2nd nom. sg.","--","2nd nom. sg."
"2nd gen. sg.","tuī","2nd gen. sg."
"2nd dat. sg.","tibi","2nd dat. sg."
"2nd acc. sg.","tē","2nd acc. sg."
"2nd abl. sg.","tē","2nd abl. sg."
"2nd nom. pl.","--","2nd nom. pl."
"2nd gen. pl.","vestrī","2nd gen. pl."
"2nd dat. pl.","vōbīs","2nd dat. pl."
"2nd acc. pl.","vōs","2nd acc. pl."
"2nd abl. pl.","vōbīs","2nd abl. pl."
"3rd nom. sg.","--","3rd nom. sg."
"3rd gen. sg.","suī","3rd gen. sg."
"3rd dat. sg.","sibi","3rd dat. sg."
"3rd acc. sg.","sē","3rd acc. sg."
"3rd abl. sg.","sē","3rd abl. sg."
"3rd nom. pl.","--","3rd nom. pl."
"3rd gen. pl.","suī","3rd gen. pl."
"3rd dat. pl.","sibi","3rd dat. pl."
"3rd acc. pl.","sē","3rd acc. pl."
"3rd abl. pl.","sē","3rd abl. pl."