"ūnus, ūna, ūnum",1,"ūnus, ūna, ūnum"
"duo, duae, duo",2,"duo, duae, duo"
"trēs, tria",3,"trēs, tria"
quattuor,4,quattuor
quīnque,5,quīnque
sex,6,sex
septem,7,septem
octō,8,octō
novem,9,novem
decem,10,decem
ūndecim,11,ūndecim
duodecim,12,duodecim
tredecim,13,tredecim
quattuordecim,14,quattuordecim
quīndecim,15,quīndecim
sēdecim,16,sēdecim
septendecim,17,septendecim
duodēvīgintī,18,duodēvīgintī
ūndēvīgintī,19,ūndēvīgintī
vīgintī,20,vīgintī
"vīgintī ūnus",21,"vīgintī ūnus"
trīgintā,30,trīgintā
quadrāgintā,40,quadrāgintā
quīnquāgintā,50,quīnquāgintā
sexāgintā,60,sexāgintā
septuāgintā,70,septuāgintā
octōgintā,80,octōgintā
nōnāgintā,90,nōnāgintā
centum,100,centum
"centum ūnus",101,"centum ūnus"
"ducentī, -ae, -a",200,"ducentī, -ae, -a"
trecentī,300,trecentī
quadringentī,400,quadringentī
quīngentī,500,quīngentī
sescentī,600,sescentī
septingentī,700,septingentī
octingentī,800,octingentī
nōngentī,900,nōngentī
mīlle,1000,mīlle
"duo mīlia",2000,"duo mīlia"