"prīmus, -a, -um",1st,"prīmus, -a, -um"
"secundus, -a, -um",2nd,"secundus, -a, -um"
"tertius, -a, -um",3rd,"tertius, -a, -um"
"quartus, -a, -um",4th,"quartus, -a, -um"
"quintus, -a, -um",5th,"quintus, -a, -um"
"sextus, -a, -um",6th,"sextus, -a, -um"
"septimus, -a, -um",7th,"septimus, -a, -um"
"octavus, -a, -um",8th,"octavus, -a, -um"
"nonus, -a, -um",9th,"nonus, -a, -um"
"decimus, -a, -um",10th,"decimus, -a, -um"
"undecimus, -a, -um",11th,"undecimus, -a, -um"
"duodecimus, -a, -um",12th,"duodecimus, -a, -um"
"tertius, -a, -um decimus, -a, -um",13th,"tertius, -a, -um decimus, -a, -um"
"quartus, -a, -um decimus, -a, -um",14th,"quartus, -a, -um decimus, -a, -um"
"quintus, -a, -um decimus, -a, -um",15th,"quintus, -a, -um decimus, -a, -um"
"sextus, -a, -um decimus, -a, -um",16th,"sextus, -a, -um decimus, -a, -um"
"septimus, a, um decimus, a, um",17th,"septimus, a, um decimus, a, um"
"duodevicensimus, -a, -um",18th,"duodevicensimus, -a, -um"
"undevicensimus, -a, -um",19th,"undevicensimus, -a, -um"
"vicensimus, -a, -um",20th,"vicensimus, -a, -um"
"vicensimus, -a, -um primus, -a, -um",21st,"vicensimus, -a, -um primus, -a, -um"
"tricensimus, -a, -um",30th,"tricensimus, -a, -um"
"quadragensimus, -a, -um",40th,"quadragensimus, -a, -um"
"quinquagensimus, -a, -um",50th,"quinquagensimus, -a, -um"
"sexagensimus, -a, -um",60th,"sexagensimus, -a, -um"
"septuagensimus, -a, -um",70th,"septuagensimus, -a, -um"
"octogensimus, -a, -um",80th,"octogensimus, -a, -um"
"nonagensimus, -a, -um",90th,"nonagensimus, -a, -um"
"centensimus, -a, -um",100th,"centensimus, -a, -um"
"entensimus, -a, -um primus, -a, -um",101st,"entensimus, -a, -um primus, -a, -um"
"ducentensimus, -a, -um",200th,"ducentensimus, -a, -um"
"trecentensimus, -a, -um",300th,"trecentensimus, -a, -um"
"quadringentensimus, -a, -um",400th,"quadringentensimus, -a, -um"
"quingentensimus, -a, -um",500th,"quingentensimus, -a, -um"
"sescentensimus, -a, -um",600th,"sescentensimus, -a, -um"
"septingentensimus, -a, -um",700th,"septingentensimus, -a, -um"
"octingentensimus, -a, -um",800th,"octingentensimus, -a, -um"
"nongentensimus, -a, -um",900th,"nongentensimus, -a, -um"
"millensimus, -a, -um",1000th,"millensimus, -a, -um"
"millensimus, -a, -um primus, -a, -um",2000th,"millensimus, -a, -um primus, -a, -um"