"esse fut. indic. act. 1st sg.","erō","esse fut. indic. act. 1st sg."
"esse fut. indic. act. 2nd sg.","eris","esse fut. indic. act. 2nd sg."
"esse fut. indic. act. 3rd sg.","erit","esse fut. indic. act. 3rd sg."
"esse fut. indic. act. 1st pl.","erimus","esse fut. indic. act. 1st pl."
"esse fut. indic. act. 2nd pl.","eritis","esse fut. indic. act. 2nd pl."
"esse fut. indic. act. 3rd pl.","erunt","esse fut. indic. act. 3rd pl."
"esse imperf. indic. act. 1st sg.","eram","esse imperf. indic. act. 1st sg."
"esse imperf. indic. act. 2nd sg.","erās","esse imperf. indic. act. 2nd sg."
"esse imperf. indic. act. 3rd sg.","erat","esse imperf. indic. act. 3rd sg."
"esse imperf. indic. act. 1st pl.","erāmus","esse imperf. indic. act. 1st pl."
"esse imperf. indic. act. 2nd pl.","erātis","esse imperf. indic. act. 2nd pl."
"esse imperf. indic. act. 3rd pl.","erant","esse imperf. indic. act. 3rd pl."
"posse pres. indic. act. 1st sg.","possum","posse pres. indic. act. 1st sg."
"posse pres. indic. act. 2nd sg.","potes","posse pres. indic. act. 2nd sg."
"posse pres. indic. act. 3rd sg.","potest","posse pres. indic. act. 3rd sg."
"posse pres. indic. act. 1st pl.","possumus","posse pres. indic. act. 1st pl."
"posse pres. indic. act. 2nd pl.","potestis","posse pres. indic. act. 2nd pl."
"posse pres. indic. act. 3rd pl.","possunt","posse pres. indic. act. 3rd pl."
"posse fut. indic. act. 1st sg.","poterō","posse fut. indic. act. 1st sg."
"posse fut. indic. act. 2nd sg.","poteris","posse fut. indic. act. 2nd sg."
"posse fut. indic. act. 3rd sg.","poterit","posse fut. indic. act. 3rd sg."
"posse fut. indic. act. 1st pl.","poterimus","posse fut. indic. act. 1st pl."
"posse fut. indic. act. 2nd pl.","poteritis","posse fut. indic. act. 2nd pl."
"posse fut. indic. act. 3rd pl.","poterunt","posse fut. indic. act. 3rd pl."
"posse imperf. indic. act. 1st sg.","poteram","posse imperf. indic. act. 1st sg."
"posse imperf. indic. act. 2nd sg.","poterās","posse imperf. indic. act. 2nd sg."
"posse imperf. indic. act. 3rd sg.","poterat","posse imperf. indic. act. 3rd sg."
"posse imperf. indic. act. 1st pl.","poterāmus","posse imperf. indic. act. 1st pl."
"posse imperf. indic. act. 2nd pl.","poterātis","posse imperf. indic. act. 2nd pl."
"posse imperf. indic. act. 3rd pl.","poterant","posse imperf. indic. act. 3rd pl."