Question,Answer,Name
"aliquis, aliquid","gen. alicuius, dat. alicui, etc.; idef. pron. someone, somebody, something","aliquis, aliquid"
"quisquis, quidquid","quis repeated; case other than nom. rare; indef. pron. whoever, whatever","quisquis, quidquid"
"quīdam, quaedam, quiddam","indef. pron. a certain one or thing, someone, something","quīdam, quaedam, quiddam"
"hic, haec, hoc","this, these; the latter; at times he, she, it, they;","hic, haec, hoc"
"ille, illa, illud","that, those; the former; the famous; he, she, it they","ille, illa, illud"
"iste, ista, istud","that over there, that of yours; that (contemptuous);","iste, ista, istud"
"is, ea, id","this, that; he, she, it","is, ea, id"
"īdem, eadem, idem",the same,"īdem, eadem, idem"
"ipse, ipsa, ipsum","himself, herself, itself; the very man, woman, thing","ipse, ipsa, ipsum"
"quī, quae, quod","who, which, whose, whom","quī, quae, quod"
"quis, quid","Who?, What?, Whose?, Whom?, Which/What thing?","quis, quid"
"meus, mea, meum",my,"meus, mea, meum"
"noster, nostra, nostrum","our, ours","noster, nostra, nostrum"
"tuus, tua, tuum",your (sg.),"tuus, tua, tuum"
"vester, vestra, vestrum",your (pl.),"vester, vestra, vestrum"
"suus, sua, suum","his own, her own, its own, their own","suus, sua, suum"
"quis, quid (after sī, nisi, nē, num)","anyone, anything, someone, something","quis, quid"